end_country,top_three,count,url,year
奧地利共和國,林茲大學,20,http://www.jku.at/content,101
奧地利共和國,茵斯堡大學,15,http://www.uibk.ac.at/,101
奧地利共和國,維也納大學,8,http://www.univie.ac.at/,101
泰王國(泰國),湄州大學,7,http://www.mju.ac.th/about/mju-about-2004/INDEX.html,101
泰王國(泰國),曼谷大學,6,http://www.bu.ac.th/tha/,101
泰王國(泰國),清邁大學,6,http://www.cmu.ac.th/,101
新加坡共和國,南洋理工大學,19,http://www.ntu.edu.sg/Pages/home.aspx,101
新加坡共和國,新加坡國立大學,18,http://www.nus.edu.sg/,101
新加坡共和國,新加坡管理大學,7,http://www.smu.edu.sg/,101
馬來西亞,馬來亞大學,13,https://www.um.edu.my/,101
馬來西亞,馬來西亞新紀元學院,7,http://www.newera.edu.my/,101
馬來西亞,馬來西亞理工大學(UTM),2,http://www.utm.my/,101
芬蘭共和國,阿爾托大學,13,http://www.aalto.fi/fi/,101
芬蘭共和國,拉瑞爾科技應用大學,4,https://www.laurea.fi/,101
芬蘭共和國,坦佩利大學,3,http://www.uta.fi/en/,101
菲律賓共和國,馬尼拉安特雷歐大學,14,http://www.ateneo.edu/,101
菲律賓共和國,瑪布阿科學技術學院,10,http://www.mapua.edu.ph/,101
菲律賓共和國,新英格蘭大學,10,http://www.une.edu.au/,101
大陸地區,復旦大學,99,http://www.fudan.edu.cn/index.html,102
大陸地區,同濟大學,93,http://www.tongji.edu.cn/,102
大陸地區,南京大學,84,http://www.nju.edu.cn/,102
日本,大阪大學,31,http://www.osaka-u.ac.jp/,102
日本,早稻田大學,27,http://www.waseda.jp/top/en,102
日本,同志社大學,23,https://www.doshisha.ac.jp/,102
日本,東北大學,23,http://www.tohoku.ac.jp/en/,102
美國,西來大學,35,http://www.uwest.edu/site/,102
美國,天普大學,26,http://www.temple.edu/,102
美國,波莫納加州州立理工大學,19,http://www.cpp.edu/,102
大韓民國(南韓),梨花女子大學,23,http://www.ewha.ac.kr/mbs/ewhakr/index.jsp,102
大韓民國(南韓),首爾教育大學,23,http://www.snue.ac.kr/index_intro.jsp,102
大韓民國(南韓),成均館大學,22,http://www.skku.edu/index_pc.jsp,102
德意志聯邦共和國,杜賓根大學,21,http://www.uni-tuebingen.de/,102
德意志聯邦共和國,慕尼黑工業大學,16,http://www.tum.de/,102
德意志聯邦共和國,曼漢姆大學,11,http://www.uni-mannheim.de/1/,102
法國,里昂第三大學,21,http://www.univ-lyon3.fr/,102
法國,法國雷恩商學院,18,https://www.esc-rennes.fr/,102
法國,巴黎高等政治學院,10,http://www.sciencespo.fr/,102
英國,英國劍橋大學,25,http://www.cam.ac.uk/,102
英國,曼徹斯特大學,12,http://www.manchester.ac.uk/,102
英國,英國女皇大學,8,http://www.qub.ac.uk/,102
荷蘭王國,荷蘭萊頓大學,21,http://www.leidenuniv.nl/,102
荷蘭王國,葛洛寧恩大學,18,http://www.rug.nl/,102
荷蘭王國,鹿特丹管理學院,7,http://www.rsm.nl/home/,102
泰國,湄州大學,6,http://www.mju.ac.th/about/mju-about-2004/INDEX.html,102
泰國,清邁皇家大學,4,http://www.satitschool.cmru.ac.th/,102
泰國,曼谷大學,3,http://www.bu.ac.th/tha/,102
西班牙,胡安卡洛斯國王大學,7,http://www.urjc.es/,102
西班牙,瓦倫西亞科技大學,7,http://www.upv.es/,102
西班牙,哈恩大學,6,http://www10.ujaen.es/,102
芬蘭,阿爾托大學,18,http://www.aalto.fi/fi/,102
芬蘭,拉瑞爾科技應用大學,6,https://www.laurea.fi/,102
芬蘭,育華斯基里拉大學       ,4,https://www.jyu.fi/en/,102
香港,香港中文大學,23,http://www.cuhk.edu.hk/chinese/,102
香港,香港城市大學,17,http://www.cityu.edu.hk/cityu/index-tc.htm,102
香港,香港大學,16,https://www.hku.hk/c_index.html,102
捷克共和國,捷克科技大學,18,http://www.cvut.cz/,102
捷克共和國,奧斯特拉瓦科技大學,11,https://www.vsb.cz/en,102
捷克共和國,布爾諾科技大學,10,https://www.vutbr.cz/en/,102
比利時,天主教魯汶大學,11,http://www.uclouvain.be/index.html,102
比利時,布魯塞爾自由大學,8,http://www.ulb.ac.be/,102
比利時,安特衛普大學,6,https://www.uantwerpen.be/nl/,102
加拿大,漢堡學院,15,http://www.humber.ca/,102
加拿大,紐芬蘭紀念大學,13,http://www.mun.ca/,102
加拿大,不列顛哥倫比亞大學,12,http://www.ubc.ca/,102
馬來西亞,馬來亞大學,26,https://www.um.edu.my/,102
馬來西亞,雙威大學,12,http://www.sunway.edu.my/,102
馬來西亞,新紀元學院,7,http://www.newera.edu.my/,102
奧地利,林茲大學,20,http://www.jku.at/content,102
奧地利,茵斯堡大學,17,http://www.uibk.ac.at/,102
奧地利,約翰克卜勒大學,5,http://www.jku.at/content,102
新加坡共和國,南洋理工大學,22,http://www.ntu.edu.sg/Pages/home.aspx,102
新加坡共和國,新加坡國立大學,19,http://www.nus.edu.sg/,102
新加坡共和國,新加坡管理大學,9,http://www.smu.edu.sg/,102
瑞典,林雪平大學,22,http://www.liu.se/?l=en,102
瑞典,查默斯理工大學,18,http://www.chalmers.se/en/Pages/default.aspx,102
瑞典,哈勒姆斯塔德大學,7,http://www.hh.se/,102
澳大利亞,昆士蘭科技大學,13,https://www.qut.edu.au/,102
澳大利亞,新南威爾斯大學,13,https://www.unsw.edu.au/,102
澳大利亞,格里菲斯大學,10,https://www.griffith.edu.au/,102
大陸,復旦大學,67,http://www.fudan.edu.cn/index.html,103
大陸,南京大學,56,http://www.nju.edu.cn/,103
大陸,北京大學,47,http://www.pku.edu.cn/,103
日本,東北大學,22,http://www.tohoku.ac.jp/en/,103
日本,大阪大學,21,http://www.osaka-u.ac.jp/ja,103
日本,北海道大學,17,http://www.hokudai.ac.jp/,103
美國,西來大學,18,http://www.uwest.edu/site/,103
美國,印第安纳大學-普渡大學維恩堡分校,14,https://www.ipfw.edu/,103
美國,天普大學,13,http://www.temple.edu/,103
南韓,梨花女子大學,19,http://www.ewha.ac.kr/mbs/ewhakr/index.jsp,103
南韓,中央大學,13,http://www.cau.ac.kr/index.php,103
南韓,東亞大學,12,http://www.donga.ac.kr/,103
德國,曼漢姆大學,16,http://www.uni-mannheim.de/1/,103
德國,杜賓根大學,12,http://www.uni-tuebingen.de/,103
德國,福茲堡應用科技大學,7,http://www.fhws.de/,103
法國,里昂第三大學,15,http://www.univ-lyon3.fr/,103
法國,里爾天主教大學,12,http://www.univ-catholille.fr/,103
法國,特魯瓦高等商學院,9,http://www.utt.fr/fr/index.html,103
加拿大,曼尼托巴大學,15,http://umanitoba.ca/,103
加拿大,漢堡學院,10,http://www.humber.ca/,103
加拿大,西門菲沙大學,6,http://www.sfu.ca/,103
荷蘭,葛洛寧恩大學,10,http://www.rug.nl/gradschooleb/index,103
荷蘭,萊登大學,9,http://www.leidenuniv.nl/,103
荷蘭,漢斯應用科技大學,5,https://www.hanze.nl/eng/,103
英國,蘭卡斯特大學,5,http://www.lancaster.ac.uk/,103
英國,倫敦政經學院,4,http://www.lse.ac.uk/home.aspx,103
英國,桑德蘭大學,4,http://www.sunderland.ac.uk/,103
西班牙,瓦倫西亞科技大學,6,http://www.upv.es/,103
西班牙,薩拉曼卡大學,6,http://www.usal.es/webusal/,103
西班牙,哈恩大學,5,http://www10.ujaen.es/,103
香港,香港城市大學,14,http://www.cityu.edu.hk/cityu/index-tc.htm,103
香港,香港中文大學,12,http://www.cuhk.edu.hk/chinese/,103
香港,香港大學,9,https://www.hku.hk/c_index.html,103
奧地利共和國,林茲大學,11,http://www.jku.at/content,103
奧地利共和國,茵斯堡大學,7,http://www.uibk.ac.at/,103
奧地利共和國,維也納大學,6,http://www.univie.ac.at/,103
瑞典,林雪平大學,11,http://www.liu.se/?l=en,103
瑞典,哈勒姆斯塔德,7,http://www.hh.se/,103
瑞典,查默斯理工大學,6,http://www.chalmers.se/en/Pages/default.aspx,103
澳大利亞,昆士蘭科技大學,10,https://www.qut.edu.au/,103
澳大利亞,南天大學,4,http://www.nantien.edu.au/,103
澳大利亞,昆士蘭大學,3,http://www.uq.edu.au/,103
新加坡共和國,新加坡國立大學,11,http://www.nus.edu.sg/,103
新加坡共和國,南洋理工大學,9,http://www.ntu.edu.sg/Pages/home.aspx,103
新加坡共和國,新加坡管理大學,7,http://www.smu.edu.sg/,103
波蘭,華沙經濟大學,5,http://www.sgh.waw.pl/index_en.html,103
波蘭,華沙大學,4,http://www.uw.edu.pl/,103
波蘭,亞捷隆大學,4,http://www.uj.edu.pl/,103
芬蘭,阿爾托大學,6,http://www.aalto.fi/fi/,103
芬蘭,JAMK應用科技大學,3,www.jamk.fi/fi/Etusivu,103
芬蘭,于韋斯屈萊大學,3,https://www.jyu.fi/,103
瑞士,蘇黎世應用科學大學,8,http://www.sml.zhaw.ch/en,103
瑞士,聖加崙大學,4,http://www.unisg.ch/,103
瑞士,蘇黎世大學,3,http://www.uzh.ch/index.html,103
瑞士,洛桑大學,3,http://www.unil.ch/index.html,103
馬來西亞,馬來亞大學,21,https://www.um.edu.my/,103
馬來西亞,拉曼大學,1,http://www.tarc.edu.my/,103
