date,california_energy_production,total_hydroelectric,nuclear,in_state_coal,oil,natural_gas,geothermal,biomass,wind,solar,other,direct_coal_imports,other_imports
2001,267399,24988,33294,4041,379,116369,13525,5761,03242,0836,038,23699,41227
2002,274444,31359,34353,4275,087,092752,13396,6196,03546,0851,035,23653,63941
2003,280026,36341,35594,4269,103,094715,13329,6092,03316,0759,108,23148,62253
2004,290211,34490,30241,4086,127,105358,13494,6080,04258,0741,048,24504,66785
2005,289177,40263,36155,4283,148,097110,13292,6076,04084,0660,024,24114,62967
2006,298454,48559,32036,4190,134,109316,13093,5861,04902,0616,034,14452,65263
2007,304823,27105,35698,4217,103,120459,13029,5743,05570,0668,015,14417,77799
2008,307448,24460,32482,3977,092,123036,12907,5927,05724,0733,039,14463,83608
2009,299101,29220,31509,3735,067,117277,12907,6096,06249,0851,020,13556,77615
2010,291310,34327,32214,3406,052,109916,12740,5960,06172,0912,012,13119,72481
2011,293875,42731,36666,3120,036,091276,12685,5986,07598,1097,013,13032,79633
2012,302113,27459,18491,1580,090,121761,12733,6121,09242,1834,014,09716,93071
2013,296569,24098,17860,1018,038,120896,12485,6466,12694,4154,014,11824,85022
